RUA DIOGENES SOBROSA DE SOUZA,214,FRENTE,PORTO ALEGRE,RS
RUA SÃO,567,PORTO ALEGRE,RS,
AVENIDA DAS MANGUEIRAS,696,FLORIANÓPOLIS,SC,
ACESSO D4,30 A,PORTO ALEGRE,RS,
RUA JOSE MASCARENHAS,127 A,CASA 2,SÃO PAULO,SP
RUA DESEMBARGADOR ANTONIO LEOPOLDO DOS SANTOS,80,BLOCO 10 APARTAMENTO 14,CURITIBA,PR
AVENIDA MARIO MENEGUETI,444,FUNDOS,PORTO ALEGRE,RS
RUA EXPEDICIONARIO HOLZ,587,APARTAMENTO 902,JOINVILLE,SC
RUA DO ABRANIO,41,CASA 2,SÃO PAULO,SP
RUA PROFESSORA ROSINHA CAMPOS,237,TERREO,FLORIANÓPOLIS,SC
RUA LAURO DROMLEWICZ,52,CURITIBA,PR,
RUA ARNALDO ESTELITO DONA COSTA,94,JOINVILLE,SC,
RODOVIA VIRGILIO VARZEA,736,FLORIANÓPOLIS,SC,
RUA CHILE,284,ANDAR 3 APARTAMENTO 401,PORTO ALEGRE,RS
RUA CIDADE DE SANTIAGO,56,SOBRADO,CURITIBA,PR
RUA IGARAPE AGUA AZUL,358,BLOCO B APARTAMENTO 44,SÃO PAULO,SP
SERVIDAO SEVERINO ROMAO BENTO,58 B,FUNDOS,FLORIANÓPOLIS,SC
RUA CARLOS EMILIO ALEXANDRE SCHWARTZ,235,JOINVILLE,SC,
RUA DOS BANCARIOS,99,JOINVILLE,SC,
RUA CORONEL CAMACHO,610,CASA 02,JOINVILLE,SC
RUA DO PESCADOR,272,PORTO ALEGRE,RS,
RUA LAURO LINHARES,1775,BLOCO OESTE APARTAMENTO 101,FLORIANÓPOLIS,SC
RUA PROFESSOR EDMUNDO JOSE BINDER,211,FRENTE,CURITIBA,PR
RUA RAGGI IZAR,584,CURITIBA,PR,
AVENIDA SANTA BERNADETHE,SN,FRENTE,CURITIBA,PR
RUA JOSE ALCEU SABATKE,50,BLOCO J TERREO APARTAMENTO 11,CURITIBA,PR
RUA CACAUEIRA,38,SÃO PAULO,SP,
TRAVESSA 1,52,FLORIANÓPOLIS,SC,
RUA INAMBU,3570,PREDIO APARTAMENTO 04,JOINVILLE,SC
BECO 2211,2219,CASA 4,PORTO ALEGRE,RS
SERVIDAO VITOR MATHEUS TEIXEIRA,11 A,FLORIANÓPOLIS,SC,
RUA PAULO LEMORE,SN,PREDIO 23B ANDAR 2 APARTAMENTO 23B,SÃO PAULO,SP
RUA JAIR COELHO,330,BLOCO 7 APARTAMENTO 12,CURITIBA,PR
BECO TRES,71,PORTO ALEGRE,RS,
RUA LEONIDIO PORCIONATO,371 CASA 3,SÃO PAULO,SP,
RUA GENERAL CAMARA,134,QUITINETE 01,JOINVILLE,SC
RUA DAS AREIAS,682,FLORIANÓPOLIS,SC,
RUA RIO GRANDE DO NORTE,2342,APARTAMENTO 102,CURITIBA,PR
SERVIDAO VIOLETAS AZUIS,290,FUNDOS,FLORIANÓPOLIS,SC
