id,endereco,latitude,longitude
0,"Rua Diogenes Sobrosa De Souza, Lomba Do Pinheiro, Porto Alegre - Rio Grande do Sul, 91550, Brazil",-30.1044081,-51.1391033
1,"Rua S 567, Sarandi, Porto Alegre - Rio Grande do Sul, 91140, Brazil",-29.99154,-51.120788
2,"Avenida Das Mangueiras 696, Lagoa, Florianópolis - Santa Catarina, Brazil",-27.609988,-48.477266
3,"Acesso D4, Rubem Berta, Porto Alegre - Rio Grande do Sul, 91160, Brazil",-29.9929083,-51.1053543
4,"2, 13710, Tambaú, São Paulo, Brazil",-21.705066,-47.268293
5,"Rua Desembargador Antônio Leopoldo Dos Santos 80, Boa Vista, Curitiba - Paraná, 82640, Brazil",-25.386334,-49.236133
6,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
7,"Rua Expedicionário Holz 587, América, Joinville - Santa Catarina, 89201, Brazil",-26.299941,-48.85405
8,"Casa, Arkansas, United States",35.022867,-93.047674
9,"Rua Professora Rosinha Campos 237, Abraão, Florianópolis - Santa Catarina, 88232, Brazil",-27.60535,-48.589833
10,"Rua Lauro Dromlewicz 52, Santa Cândida, Curitiba - Paraná, 82720, Brazil",-25.368823,-49.220635
11,"South Carolina, United States",33.9184118141,-80.9007732114739
12,"Rodovia Virgílio Várzea 736, Canasvieiras, Florianópolis - Santa Catarina, 88054, Brazil",-27.442336,-48.465675
13,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
14,"Santiago, provincial de veraguas, Panama",8.10571,-80.97113
15,"Rua Igarapé Água Azul 358, São Paulo - São Paulo, 08471, Brazil",-23.591985,-46.407413
16,"Servidão Severino Romão Bento, Saco Dos Limões, Florianópolis - Santa Catarina, 88045, Brazil",-27.6028756,-48.5354471
17,"Rua Carlos Emílio Alexandre Schwartz 235, Itinga, Joinville - Santa Catarina, Brazil",-26.376491,-48.825477
18,"Rua Dos Bancários 99, Petrópolis, Joinville - Santa Catarina, 89208, Brazil",-26.347136,-48.832625
19,"Cama, Graubünden, Switzerland",46.272046,9.169166
20,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
21,"Rua Lauro Linhares 1775, Trindade, Florianópolis - Santa Catarina, 88036, Brazil",-27.594413,-48.521238
22,"Rua Professor Edmundo José Binder 211, Cajuru, Curitiba - Paraná, 82920, Brazil",-25.452934,-49.200972
23,"Rua Raggi Izar 584, Hauer, Curitiba - Paraná, 81630, Brazil",-25.486543,-49.261743
24,"Sever, Viseu, Portugal",41.0036,-7.699
25,"Rua José Alceu Sabatke 50, Sítio Cercado, Curitiba - Paraná, 81910, Brazil",-25.53244,-49.267585
26,"Rua Cacaueira 38, São Paulo - São Paulo, 03319, Brazil",-23.544803,-46.562016
27,"Travessa 1 52, Agronômica, Florianópolis - Santa Catarina, 88025, Brazil",-27.580387,-48.534952
28,"Rua Inambu 3570, Costa E Silva, Joinville - Santa Catarina, 89220, Brazil",-26.271419,-48.887145
29,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
30,"Servidão Vítor Matheus Teixeira 11, Monte Cristo, Florianópolis - Santa Catarina, 88090, Brazil",-27.591893,-48.597613
31,"2, 13710, Tambaú, São Paulo, Brazil",-21.705066,-47.268293
32,"Rua Jair Coelho 330, Cidade Industrial De Curitiba, Curitiba - Paraná, 81450, Brazil",-25.494871,-49.349423
33,"Porto Alegre, Rio Grande do Sul, Brazil",-30.033,-51.2305
34,"Rua Leonidio Porcionato São Paulo - São Paulo, 03280, Brazil",-23.5850755,-46.537183
35,"Rua General Câmara 134, Bom Retiro, Joinville - Santa Catarina, 89222, Brazil",-26.272212,-48.848622
36,"Rua Das Areias 682, Tapera Da Base, Florianópolis - Santa Catarina, Brazil",-27.683248,-48.560889
37,"Rua Rio Grande Do Norte 2342, Guaíra, Curitiba - Paraná, 80630, Brazil",-25.468621,-49.27758
38,"Servidão Violetas Azuis, Itacorubi, Florianópolis - Santa Catarina, 88034, Brazil",-27.5801905,-48.4942654
39,"2, 13710, Tambaú, São Paulo, Brazil",-21.705066,-47.268293
40,"São Paulo, São Paulo, Brazil",-23.5507,-46.6334
41,"Rua Deusdete Palmeida Silva 1418, Cidade Industrial De Curitiba, Curitiba - Paraná, 81460, Brazil",-25.525743,-49.334327
42,"Poá, São Paulo, Brazil",-23.5249,-46.3446
43,"Rua João Ernesto Schmidt 251, Jardim Itu-Sabará, Porto Alegre - Rio Grande do Sul, 91210, Brazil",-30.034962,-51.146956
44,"Rua Teresópolis 1523, Itaum, Joinville - Santa Catarina, 89210, Brazil",-26.331629,-48.82485
45,"Rua General Lima E Silva 717, Azenha, Porto Alegre - Rio Grande do Sul, 90050, Brazil",-30.045674,-51.215264
46,"Rodovia Admar Gonzaga 2025, Itacorubi, Florianópolis - Santa Catarina, 88034, Brazil",-27.587099,-48.49814
47,"Lot 20, Prince Edward Island, Canada",46.479925,-63.559162
48,"Rue, Fribourg, Switzerland",46.619839,6.821521
49,"Rua Ottokar Doerffel 841, Anita Garibaldi, Joinville - Santa Catarina, 89203, Brazil",-26.317532,-48.861263
50,"Servidão David José Bastos, Rio Vermelho, Florianópolis - Santa Catarina, Brazil",-27.4833678,-48.4112811
51,"Rua Pica-Pau 142, Aventureiro, Joinville - Santa Catarina, 88225, Brazil",-26.250337,-48.818572
52,"Casa, Arkansas, United States",35.022867,-93.047674
53,"Rua Riachuelo 809, Centro Histórico, Porto Alegre - Rio Grande do Sul, 90010, Brazil",-30.032328,-51.233072
54,"Rua Erhard Wetzel 484, Boa Vista, Joinville - Santa Catarina, 89205, Brazil",-26.306433,-48.830642
55,"Avenida Felipe Pedrell 5, São Paulo - São Paulo, 04844, Brazil",-23.741269,-46.699792
56,"Avenida Riacho Dos Machados São Paulo - São Paulo, 03929, Brazil",-23.6026976,-46.4886056
57,"Avenida Dos Dourados 1300, Jurere Leste, Florianópolis - Santa Catarina, Brazil",-27.445148,-48.489008
58,"Avenida Manoel Elias 2136, Mário Quintana, Porto Alegre - Rio Grande do Sul, 91260, Brazil",-30.03424,-51.121035
